Broken URL,Status Code,Error,Link Text,Content Type,Source Page(s),Redirect To
"https://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=397&ChapterID=5",404,"","Illinois Criminal Justice Information Act [20 ILCS 3930 et. seq.]","core","/about/",""
"https://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=85",404,"","Illinois Freedom of Information Act (5 ILCS 140) (FOIA)","core","/foia/",""
"https://bit.ly/2VGYV1N",404,"","https://bit.ly/2VGYV1N","events","/events/webinar-the-pandemic-s-impact-on-illinois-criminal-justice-and-victim-services/",""
"https://archive.icjia-api.cloud/files/icjia/gata/materials/funding/2020-r3-service-delivery/R3ServiceNOFOINSTRUCTIONS.pdf",404,"","LINK TO NOFO","grants","/grants/funding/2020-r3-service-delivery/",""
"https://archive.icjia-api.cloud/files/icjia/gata/materials/funding/2019-voca-ffy18-housing/NOFO.VOCA.TH.ZIP",404,"","DOWNLOAD ZIP FILE OF ALL REQUIRED APPLICATION DOCUMENTS","grants","/grants/funding/2019-voca-ffy18-housing/",""
"https://research.icjia.cloud/articles/victim-need-report-service-providers-perspectives-on-the-needs-of-crime-victims-and-service-gaps",0,"ENOTFOUND","website","hub","/researchhub/articles/victim-service-delivery-illinois-providers-perspectives-on-victim-service-barriers-and-agency-capacity/",""
"https://www.cdc.gov/dhdsp/docs/logic_model.pdf",404,"","https://www.cdc.gov/dhdsp/docs/logic_model.pdf","hub","/researchhub/articles/evaluation-of-the-development-of-a-multijurisdictional-police-led-deflection-program--to-assist-victims-of-violent-crime/",""
"https://www.cdc.gov/dhdsp/docs/smart_objectives.pdf",404,"","https://www.cdc.gov/dhdsp/docs/smart_objectives.pdf","hub","/researchhub/articles/evaluation-of-the-development-of-a-multijurisdictional-police-led-deflection-program--to-assist-victims-of-violent-crime/",""
"https://www.bscc.ca.gov/wp-content/uploads/CSULB-LEAD-REPORT-TO-LEGISLATURE-1-15-2020.pdf",0,"UNABLE_TO_VERIFY_LEAF_SIGNATURE","https://www.bscc.ca.gov/wp-content/uploads/CSULB-LEAD-REPORT-TO-LEGISLATURE-1-15","hub","/researchhub/articles/process-evaluation-of-a-rural-police-initiated-deflection-program-in-southern-illinois-leadership-team-feedback/",""
"https://pmc.ncbi.nlm.nih.gov/articles/PMC12483378/",405,"","https://pmc.ncbi.nlm.nih.gov/articles/PMC12483378/","hub","/researchhub/articles/process-evaluation-of-a-rural-police-initiated-deflection-program-in-southern-illinois-leadership-team-feedback/",""
"https://onlinelibrary.wiley.com/doi/full/10.1002/cl2.1396",403,"","https://onlinelibrary.wiley.com/doi/full/10.1002/cl2.1396","hub","/researchhub/articles/process-evaluation-of-a-rural-police-initiated-deflection-program-in-southern-illinois-leadership-team-feedback/",""
"https://americafirstpolicy.com/assets/uploads/files/Research_Report_-_Reducing_recidivism_through_faith-based_prison_programs.pdf",403,"","https://americafirstpolicy.com/assets/uploads/files/Research_Report_-_Reducing_r","hub","/researchhub/articles/process-evaluation-of-a-rural-police-initiated-deflection-program-in-southern-illinois-leadership-team-feedback/",""
"https://csgjusticecenter.org/wp-content/uploads/2020/02/Reentry_Partnership_Web-1.pdfv",404,"","https://csgjusticecenter.org/wp-content/uploads/2020/02/Reentry_Partnership_Web-","hub","/researchhub/articles/process-evaluation-of-a-rural-police-initiated-deflection-program-in-southern-illinois-leadership-team-feedback/",""
"https://www.ilga.gov/legislation/publicacts/fulltext.asp?Name=103-0101",404,"","llinois Drones as First Responders Act (Public Act 103-0101)","pages","/innovation-and-digital-services/drone/",""
"https://r3.illinois.gov/eligibility/",0,"TIMEOUT","Reviewers must reside in designated R3 zones, which can be identified using this","posts","/news/join-our-volunteer-reviewer-pool/",""
